商品名,价格,图片
华为 HUAWEI nova 5z 麒麟810芯片 4800万AI四摄 3200万人像超级夜景  6GB+64GB 幻夜黑 全网通双卡双待,1599.00,https://img11.360buyimg.com/n1/jfs/t1/67870/7/13409/416682/5dac1770Ec347fcd5/686cd05c0ce1f8b3.jpg
荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+128GB 渐变蓝 移动联通电信4G全面屏手机 双卡双待,1299.00,https://img11.360buyimg.com/n1/jfs/t1/103697/13/2198/259862/5dcbd7e5Ef9a452c7/0c2f7068894ecdc8.jpg
Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色  移动联通电信4G手机 双卡双待,10899.00,https://img11.360buyimg.com/n1/jfs/t1/89650/16/4630/180829/5de8e952Efe688adb/bc517a8e342b059e.jpg
京品手机【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏手机,3899.00,https://img11.360buyimg.com/n1/jfs/t1/68624/40/17285/291866/5de4dd8dEa0a3a972/ee506cd7b767a557.jpg
京品手机Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 碳纤黑 游戏手机 小米 红米,2299.00,https://img11.360buyimg.com/n1/jfs/t1/106298/3/4735/328585/5de8cb76E6083b74a/2752d3585cc573f0.jpg
京品手机华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏6GB+128GB雀翎蓝全网通版双4G手机,1299.00,https://img11.360buyimg.com/n1/jfs/t1/12096/3/9704/238787/5c8083d5E26311ba6/1a3ea555d8ca7e8b.jpg
vivo Z5 6GB+64GB 全息幻彩 4800万超广角AI三摄手机 22.5W快充 4500mAh大电池 全网通4G手机,1598.00,https://img11.360buyimg.com/n1/jfs/t1/85976/18/4592/183351/5de798e7E6a15b445/98ed87e2a7b4b9b3.jpg
OPPO Reno Ace 8GB+128GB 星际蓝 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏手机,3199.00,https://img11.360buyimg.com/n1/jfs/t1/106662/9/4304/139702/5de60eb2E6e85af64/b73dbdc5d1c074b3.jpg
荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,599.00,https://img11.360buyimg.com/n1/jfs/t1/17791/2/4053/104184/5c2ec928Efb2c4215/054fbc574b007149.jpg
Apple iPhone XS Max (A2104) 256GB 深空灰色 移动联通电信4G手机 双卡双待,7199.00,https://img11.360buyimg.com/n1/jfs/t1/85488/39/4689/218786/5de8fbd1E206e1086/f8af3bd67e3d5910.jpg
华为 HUAWEI Mate 30 麒麟990旗舰芯片4000万超感光徕卡影像双超级快充屏内指纹8G+128GB星河银4G全网通版,4299.00,https://img11.360buyimg.com/n1/jfs/t1/85488/39/4689/218786/5de8fbd1E206e1086/f8af3bd67e3d5910.jpg
京品手机Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机,3499.00,https://img11.360buyimg.com/n1/jfs/t1/18387/1/12727/161720/5c999df4E06720614/34ac75cc458efc46.jpg
京品手机【超级爆品】一加 OnePlus 7  骁龙855旗舰性能 4800万超清双摄 8GB+256GB 曜岩灰 全面屏拍照智能游戏手机,2699.00,https://img11.360buyimg.com/n1/jfs/t1/100906/12/4034/84434/5de51280E8d810549/ce24666f86ad9a46.jpg
华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB亮黑色全网通双4G手机,2699.00,https://img11.360buyimg.com/n1/jfs/t1/51336/1/8104/201268/5d5b5213Ec0ea1a1d/ca1e456c486d6ed7.jpg
京品手机【超级爆款】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机,3688.00,https://img11.360buyimg.com/n1/jfs/t1/50018/39/8127/229510/5d5b5043E66769ff0/8907776f7bd66d57.jpg
Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,9999.00,https://img11.360buyimg.com/n1/jfs/t1/98998/31/4833/177832/5de8ed8cE7c05a913/283dfdd5c3958315.jpg
商品名,价格,图片
[12期免息]柔宇科技Royole FlexPai柔派/可折叠柔性屏手机高通骁龙855旗舰折叠手机 深海蓝  6GB+128GB,8999.00,[]
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,5999.00,https://img11.360buyimg.com/n1/jfs/t1/59022/28/10293/141808/5d78088fEf6e7862d/68836f52ffaaad96.jpg
荣耀V20 游戏手机 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻夜黑 移动联通电信4G,1899.00,https://img11.360buyimg.com/n1/jfs/t1/88529/15/4307/279476/5de6564dE8243cca7/f4130deb2a05d1cf.jpg
荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏手机,899.00,https://img11.360buyimg.com/n1/jfs/t1/22718/1/12601/168068/5caedd41E05e879b0/865565d919219154.jpg
小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 白色恋人 6GB+64GB 游戏智能拍照手机,999.00,https://img11.360buyimg.com/n1/jfs/t1/86011/20/4711/316857/5de8cbc1E21853dc0/69d91ed1677a767c.jpg
京品手机荣耀20 李现同款 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻影蓝 全面屏手机,2099.00,https://img11.360buyimg.com/n1/jfs/t1/106523/18/4870/280822/5de8fc85E07ca3577/d57fd550720cccda.jpg
华为 HUAWEI 畅享 10S 炫彩OLED屏幕指纹4800万超广角AI三摄4000mAh大电池6GB+128GB天空之境全网通双4G手机,1799.00,https://img11.360buyimg.com/n1/jfs/t1/106523/18/4870/280822/5de8fc85E07ca3577/d57fd550720cccda.jpg
荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,1299.00,https://img11.360buyimg.com/n1/jfs/t1/88288/25/4272/403203/5de6553cE8653bc6a/1bdec9db1e08e9dc.jpg
【新品抢购】Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人手机 小米 红米,749.00,https://img11.360buyimg.com/n1/jfs/t1/54085/1/13732/194509/5da6d50fE32d0191a/68d0ac29ce4a326d.jpg
华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB丹霞橙5G全网通手机,6899.00,https://img11.360buyimg.com/n1/jfs/t1/90139/34/1379/180822/5dbe8875E02dc2e95/c78c80a4116ee57d.jpg
荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白,1599.00,https://img11.360buyimg.com/n1/jfs/t1/99392/36/4816/229887/5de8ff03E76fa3ffa/6e4ebd831419b4d2.jpg
华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通手机,4999.00,https://img11.360buyimg.com/n1/jfs/t1/85230/12/4779/148135/5de8e622E5b87931d/d992d95200bcb657.jpg
华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄8GB+128GB星河银4G全网通手机,5799.00,https://img11.360buyimg.com/n1/jfs/t1/85230/12/4779/148135/5de8e622E5b87931d/d992d95200bcb657.jpg
京品手机Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,4859.00,https://img11.360buyimg.com/n1/jfs/t1/3405/18/3537/69901/5b997c0aE5dc8ed9f/a2c208410ae84d1f.jpg
华为 HUAWEI nova 5z 麒麟810芯片 4800万AI四摄 3200万人像超级夜景  6GB+64GB 幻夜黑 全网通双卡双待,1599.00,https://img11.360buyimg.com/n1/jfs/t1/67870/7/13409/416682/5dac1770Ec347fcd5/686cd05c0ce1f8b3.jpg
荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+128GB 渐变蓝 移动联通电信4G全面屏手机 双卡双待,1299.00,https://img11.360buyimg.com/n1/jfs/t1/103697/13/2198/259862/5dcbd7e5Ef9a452c7/0c2f7068894ecdc8.jpg
Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色  移动联通电信4G手机 双卡双待,10899.00,https://img11.360buyimg.com/n1/jfs/t1/89650/16/4630/180829/5de8e952Efe688adb/bc517a8e342b059e.jpg
京品手机【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏手机,3899.00,https://img11.360buyimg.com/n1/jfs/t1/68624/40/17285/291866/5de4dd8dEa0a3a972/ee506cd7b767a557.jpg
京品手机Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 碳纤黑 游戏手机 小米 红米,2299.00,https://img11.360buyimg.com/n1/jfs/t1/106298/3/4735/328585/5de8cb76E6083b74a/2752d3585cc573f0.jpg
京品手机华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏6GB+128GB雀翎蓝全网通版双4G手机,1299.00,https://img11.360buyimg.com/n1/jfs/t1/12096/3/9704/238787/5c8083d5E26311ba6/1a3ea555d8ca7e8b.jpg
vivo Z5 6GB+64GB 全息幻彩 4800万超广角AI三摄手机 22.5W快充 4500mAh大电池 全网通4G手机,1598.00,https://img11.360buyimg.com/n1/jfs/t1/85976/18/4592/183351/5de798e7E6a15b445/98ed87e2a7b4b9b3.jpg
OPPO Reno Ace 8GB+128GB 星际蓝 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏手机,3199.00,https://img11.360buyimg.com/n1/jfs/t1/106662/9/4304/139702/5de60eb2E6e85af64/b73dbdc5d1c074b3.jpg
荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,599.00,https://img11.360buyimg.com/n1/jfs/t1/17791/2/4053/104184/5c2ec928Efb2c4215/054fbc574b007149.jpg
Apple iPhone XS Max (A2104) 256GB 深空灰色 移动联通电信4G手机 双卡双待,7199.00,https://img11.360buyimg.com/n1/jfs/t1/85488/39/4689/218786/5de8fbd1E206e1086/f8af3bd67e3d5910.jpg
华为 HUAWEI Mate 30 麒麟990旗舰芯片4000万超感光徕卡影像双超级快充屏内指纹8G+128GB星河银4G全网通版,4299.00,https://img11.360buyimg.com/n1/jfs/t1/85488/39/4689/218786/5de8fbd1E206e1086/f8af3bd67e3d5910.jpg
京品手机Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机,3499.00,https://img11.360buyimg.com/n1/jfs/t1/18387/1/12727/161720/5c999df4E06720614/34ac75cc458efc46.jpg
京品手机【超级爆品】一加 OnePlus 7  骁龙855旗舰性能 4800万超清双摄 8GB+256GB 曜岩灰 全面屏拍照智能游戏手机,2699.00,https://img11.360buyimg.com/n1/jfs/t1/100906/12/4034/84434/5de51280E8d810549/ce24666f86ad9a46.jpg
华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB亮黑色全网通双4G手机,2699.00,https://img11.360buyimg.com/n1/jfs/t1/51336/1/8104/201268/5d5b5213Ec0ea1a1d/ca1e456c486d6ed7.jpg
京品手机【超级爆款】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机,3688.00,https://img11.360buyimg.com/n1/jfs/t1/50018/39/8127/229510/5d5b5043E66769ff0/8907776f7bd66d57.jpg
Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,9999.00,https://img11.360buyimg.com/n1/jfs/t1/98998/31/4833/177832/5de8ed8cE7c05a913/283dfdd5c3958315.jpg
